date_date,vent_dia
2015-09-02,182420.3300000017
2015-09-03,3220860.2700001304
2015-09-04,2751803.499999949
2015-09-05,3626496.119999999
2015-09-06,2961556.3899999894
2015-09-07,2068312.24000002
2015-09-08,2211982.9300000407
2015-09-09,1965024.880000015
2015-09-10,2025428.529999968
2015-09-11,2820355.009999996
2015-09-12,320289.3400000157
2015-09-13,2637602.390000017
2015-09-14,175760.4200000411
2015-09-15,2139906.099999945
2015-09-16,2671604.579999996
2015-09-17,2522768.519999858
2015-09-18,2794011.389999991
2015-09-19,2969821.319999976
2015-09-20,2270394.76
2015-09-21,1721418.38999992
2015-09-22,7060358.999999352
2015-09-23,3017046.999999709
2015-09-24,274265.000000009
2015-09-25,3273877.0000000005
2015-09-26,4076909.999999688
2015-09-27,345077.999999999
2015-09-28,2995681.000000136
2015-09-29,6674607.000000015
2015-09-30,6006111.000002708
2015-10-01,2790190.999999998
2015-10-02,3920790.999999972
2015-10-03,5767586.999999985
2015-10-04,4661264.000000036
2015-10-05,1639808.54999999
2015-10-06,1339565.1
2015-10-07,2800207.5500000305
2015-10-08,2016981.9000000001
2015-10-09,2204254.599999993
2015-10-10,3141861.2000000095
2015-10-11,2648088.5499999993
2015-10-12,1585838.000000039
2015-10-13,2331417.9999999637
2015-10-14,2022077.000000012
2015-10-15,1801466.0000000333
2015-10-16,2173880.999999999
2015-10-17,2913260.000000002
2015-10-18,2439704.000000001
2015-10-19,1266477.9999999998
2015-10-20,2715846.599999998
2015-10-21,2346552.00000003
2015-10-22,2512409.999999999
2015-10-23,6161366.999999919
2015-10-24,4108110.999999949
2015-10-25,3457825.0000000503
2015-10-26,1922156.4400000018
2015-10-27,2261143.130000001
2015-10-28,1722150.0999999905
2015-10-29,1859613.1400000092
2015-10-30,2620837.1200000066
2015-10-31,3184379.0799999824
